"id","sampleid","submited_datetime","datestart","dateend","notes","type","collection","location_id","loginname_id"
2,LAR_20012022,2022-02-01 15:44:19,2022-01-19,2022-01-20,,rawWW,cpTP24h,6,3
3,VAT_20012022,2022-02-01 15:48:35,2022-01-19,2022-01-20,,rawWW,cpTP24h,7,3
4,PAR_20012022,2022-02-01 15:53:53,2022-01-19,2022-01-20,,rawWW,cpTP24h,3,3
5,LAR_03022022,2022-02-10 13:04:54,2022-02-02,2022-02-03,Influent samples,rawWW,cpTP24h,6,2
6,LAR_28022022,2022-03-03 10:54:38,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,6,2
7,VAT_24022022,2022-03-03 10:57:28,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,7,2
8,PAF_28022022,2022-03-03 11:00:27,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,2,2
9,VAT_03022022,2022-02-10 13:11:04,2022-02-02,2022-02-03,Influent samples,rawWW,cpTP24h,7,2
10,PAR_03022022,2022-02-10 13:14:57,2022-02-02,2022-02-03,Influent samples,rawWW,cpTP24h,3,2
11,AYI_17012022,2022-01-25 18:46:47,2022-01-16,2022-01-17,,rawWW,cpTP24h,4,3
12,PAR_17012022,2022-01-25 18:42:32,2022-01-16,2022-01-17,,rawWW,cpTP24h,3,3
13,PAF_17012022,2022-01-25 18:35:54,2022-01-16,2022-01-17,,rawWW,cpTP24h,2,3
14,VAT_17012022,2022-01-25 18:21:35,2022-01-16,2022-01-17,,rawWW,cpTP24h,7,3
15,ANT_17012022,2022-01-25 18:15:13,2022-01-16,2022-01-17,,rawWW,cpTP24h,5,3
16,LIM_17012022,2022-01-25 17:43:46,2022-01-16,2022-01-17,,rawWW,cpTP24h,1,3
17,LIM_31012022,2022-02-11 11:27:43,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,1,2
18,ANT_27012022,2022-02-11 11:31:50,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,5,2
19,VAT_31012022,2022-02-11 11:37:32,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,7,2
20,PAR_27012022,2022-02-11 11:46:07,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,3,2
21,AYI_31012022,2022-02-11 11:49:19,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,4,2
22,LAR_10022022,2022-02-18 10:47:40,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,6,2
23,ANT_14022022,2022-02-18 10:50:47,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,5,2
24,PAF_10022022,2022-02-18 10:54:00,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,2,2
25,PAR_14022022,2022-02-18 10:56:30,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,3,2
26,LAR_17022022,2022-02-24 11:05:33,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,6,2
27,ANT_22022022,2022-02-24 11:08:48,2022-02-21,2022-02-22,Influent samples,rawWW,cpTP24h,5,2
28,PAF_17022022,2022-02-24 11:18:28,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,2,2
29,PAR_17022022,2022-02-24 11:27:53,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,3,2
30,AYI_17022022,2022-02-24 11:45:09,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,4,2
31,PAF_21032022,2022-03-24 16:20:58,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,2,2
32,LIM_24022022,2022-03-03 10:50:15,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,1,2
33,AYI_24022022,2022-03-03 11:03:49,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,4,2
34,LAR_03032022,2022-03-11 11:50:42,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,6,2
35,VAT_03032022,2022-03-11 12:09:48,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,7,2
36,PAF_08032022,2022-03-11 12:12:44,2022-03-07,2022-03-08,Influent samples,rawWW,cpTP24h,2,2
37,AYI_03032022,2022-03-11 12:16:52,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,4,2
38,LAR_10032022,2022-03-18 14:48:23,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,6,2
39,ANT_14032022,2022-03-18 14:50:44,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,5,2
40,PAF_10032022,2022-03-18 14:52:54,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,2,2
41,PAR_14032022,2022-03-18 14:56:44,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,3,2
42,AYI_14032022,2022-03-18 14:58:26,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,4,2
43,LIM_21032022,2022-03-24 16:15:20,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,1,2
44,LAR_21032022,2022-03-24 16:16:35,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,6,2
45,ANT_21032022,2022-03-24 16:17:51,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,5,2
46,VAT_21032022,2022-03-24 16:19:14,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,7,2
47,PAR_21032022,2022-03-24 16:22:18,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,3,2
48,AYI_17032022,2022-03-24 16:22:57,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,4,2
49,AYI_21032022,2022-03-24 16:23:35,2022-03-20,2022-03-21,Influent samples,rawWW,cpTP24h,4,2
52,LAR_24032022,2022-03-31 16:03:03,2022-03-23,2022-03-24,Influent samples,rawWW,cpTP24h,6,2
53,LAR_28032022,2022-03-31 16:03:48,2022-03-27,2022-03-28,Influent samples,rawWW,cpTP24h,6,2
54,ANT_24032022,2022-03-31 16:04:37,2022-03-23,2022-03-24,Influent samples,rawWW,cpTP24h,5,2
55,LAR_24012022,2022-02-01 15:45:09,2022-01-23,2022-01-24,,rawWW,cpTP24h,6,3
56,VAT_24012022,2022-02-01 15:49:02,2022-01-23,2022-01-24,,rawWW,cpTP24h,7,3
57,PAR_24012022,2022-02-01 15:54:21,2022-01-23,2022-01-24,,rawWW,cpTP24h,3,3
58,LAR_07022022,2022-02-10 13:06:30,2022-02-06,2022-02-07,Influent samples,rawWW,cpTP24h,6,2
59,AYI_28022022,2022-03-03 11:04:38,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,4,2
60,VAT_07022022,2022-02-10 13:11:57,2022-02-06,2022-02-07,Influent samples,rawWW,cpTP24h,7,2
61,ANT_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,5,
62,PAR_07022022,2022-02-10 13:15:55,2022-02-06,2022-02-07,Influent samples,rawWW,cpTP24h,3,2
63,LIM_06012022,2022-01-25 17:35:24,2022-01-05,2022-01-06,,rawWW,cpTP24h,1,3
64,AYI_06012022,2022-01-25 18:44:51,2022-01-05,2022-01-06,,rawWW,cpTP24h,4,3
65,PAR_06012022,2022-01-25 18:40:08,2022-01-05,2022-01-06,,rawWW,cpTP24h,3,3
66,PAF_06012022,2022-01-25 18:33:43,2022-01-05,2022-01-06,,rawWW,cpTP24h,2,3
67,VAT_06012022,2022-01-25 18:18:58,2022-01-05,2022-01-06,,rawWW,cpTP24h,7,3
68,ANT_06012022,2022-01-25 18:12:17,2022-01-05,2022-01-06,,rawWW,cpTP24h,5,3
69,LAR_13012022,2022-01-25 18:00:15,2022-01-12,2022-01-13,,rawWW,cpTP24h,6,3
70,LAR_27012022,2022-02-11 11:28:51,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,6,2
71,ANT_31012022,2022-02-11 11:32:45,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,5,2
72,PAF_27012022,2022-02-11 11:43:54,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,2,2
73,LIM_24012022,2022-02-01 15:42:34,2022-01-23,2022-01-24,,rawWW,cpTP24h,1,3
74,PAR_31012022,2022-02-11 11:47:02,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,3,2
75,LIM_10022022,2022-02-18 10:42:19,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,1,2
76,LAR_14022022,2022-02-18 10:48:40,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,6,2
77,VAT_10022022,2022-02-18 10:52:07,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,7,2
78,PAF_14022022,2022-02-18 10:54:47,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,2,2
51,LIM_28032022,2022-03-31 16:02:14,2022-03-27,2022-03-28,Influent samples,rawWW,cpTP24h,1,6
79,AYI_10022022,2022-02-18 10:57:21,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,4,2
80,LIM_17022022,2022-02-24 11:03:50,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,1,2
81,LAR_21022022,2022-02-24 11:06:20,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,6,2
82,VAT_17022022,2022-02-24 11:10:55,2022-02-16,2022-02-17,Influent samples,rawWW,cpTP24h,7,2
83,PAF_21022022,2022-02-24 11:23:37,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,2,2
84,PAR_21022022,2022-02-24 11:28:37,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,3,2
85,PAR_28102021,2022-03-08 12:31:52,2021-10-27,2021-10-28,Influent samples,rawWW,cpTP24h,3,2
86,ANT_22122021,2022-02-28 16:24:06,2021-12-21,2021-12-22,Influent samples,rawWW,cpTP24h,5,2
87,LIM_03032022,2022-03-11 11:48:40,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,1,2
88,PAF_14032022,2022-03-18 14:53:32,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,2,2
89,LIM_28022022,2022-03-03 10:51:08,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,1,2
90,ANT_24022022,2022-03-03 10:55:39,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,5,2
91,VAT_28022022,2022-03-03 10:58:13,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,7,2
92,PAR_24022022,2022-03-03 11:01:35,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,3,2
93,LAR_07032022,2022-03-11 11:51:49,2022-03-06,2022-03-07,Influent samples,rawWW,cpTP24h,6,2
94,ANT_03032022,2022-03-11 12:06:33,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,5,2
95,VAT_07032022,2022-03-11 12:10:41,2022-03-06,2022-03-07,Influent samples,rawWW,cpTP24h,7,2
96,PAR_03032022,2022-03-11 12:13:52,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,3,2
97,AYI_08032022,2022-03-11 12:17:39,2022-03-07,2022-03-08,Influent samples,rawWW,cpTP24h,4,2
98,LIM_10032022,2022-03-18 14:35:42,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,1,2
99,LAR_14032022,2022-03-18 14:49:06,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,6,2
100,VAT_10032022,2022-03-18 14:51:30,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,7,2
101,AYI_10032022,2022-03-18 14:57:36,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,4,2
102,LIM_17032022,2022-03-24 16:14:35,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,1,2
103,LAR_17032022,2022-03-24 16:16:00,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,6,2
104,ANT_17032022,2022-03-24 16:17:17,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,5,2
105,VAT_17032022,2022-03-24 16:18:32,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,7,2
106,PAF_17032022,2022-03-24 16:20:16,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,2,2
107,PAR_17032022,2022-03-24 16:21:42,2022-03-16,2022-03-17,Influent samples,rawWW,cpTP24h,3,2
108,ANT_20012022,2022-02-01 15:46:58,2022-01-19,2022-01-20,,rawWW,cpTP24h,5,3
109,PAF_20012022,2022-02-01 15:52:30,2022-01-19,2022-01-20,,rawWW,cpTP24h,2,3
110,AYI_14022022,2022-02-18 10:58:10,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,4,2
111,LIM_21022022,2022-02-24 11:04:41,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,1,2
112,ANT_21022022,2022-02-24 11:07:14,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,5,2
113,PAF_18102021,2021-10-18 00:00:00,2021-10-17,2021-10-18,"",rawWW,cpTP24h,2,
114,VAT_21022022,2022-02-24 11:12:32,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,7,2
115,AYI_20012022,2022-02-01 15:55:35,2022-01-19,2022-01-20,,rawWW,cpTP24h,4,3
116,ANT_07022022,2022-02-10 13:08:37,2022-02-06,2022-02-07,Influent samples,rawWW,cpTP24h,5,2
117,PAF_03022022,2022-02-10 13:13:12,2022-02-02,2022-02-03,Influent samples,rawWW,cpTP24h,2,2
118,AYI_03022022,2022-02-10 13:18:11,2022-02-02,2022-02-03,Influent samples,rawWW,cpTP24h,4,2
119,LIM_10012022,2022-01-25 17:41:46,2022-01-09,2022-01-10,,rawWW,cpTP24h,1,3
120,AYI_10012022,2022-01-25 18:45:34,2022-01-09,2022-01-10,,rawWW,cpTP24h,4,3
121,ANT_10012022,2022-01-25 18:13:03,2022-01-09,2022-01-10,,rawWW,cpTP24h,5,3
122,PAF_10012022,2022-01-25 18:34:22,2022-01-09,2022-01-10,,rawWW,cpTP24h,2,3
123,VAT_10012022,2022-01-25 18:19:53,2022-01-09,2022-01-10,,rawWW,cpTP24h,7,3
124,PAR_13012022,2022-01-25 18:41:01,2022-01-12,2022-01-13,,rawWW,cpTP24h,3,3
125,LAR_17012022,2022-01-25 18:00:59,2022-01-16,2022-01-17,,rawWW,cpTP24h,6,3
126,LAR_31012022,2022-02-11 11:29:54,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,6,2
127,VAT_27012022,2022-02-11 11:36:34,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,7,2
128,PAF_31012022,2022-02-11 11:44:49,2022-01-30,2022-01-31,Influent samples,rawWW,cpTP24h,2,2
129,AYI_27012022,2022-02-11 11:47:52,2022-01-26,2022-01-27,Influent samples,rawWW,cpTP24h,4,2
130,LIM_14022022,2022-02-18 10:43:03,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,1,2
131,ANT_10022022,2022-02-18 10:49:49,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,5,2
132,VAT_14022022,2022-02-18 10:52:58,2022-02-13,2022-02-14,Influent samples,rawWW,cpTP24h,7,2
133,PAR_10022022,2022-02-18 10:55:32,2022-02-09,2022-02-10,Influent samples,rawWW,cpTP24h,3,2
134,LAR_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,None,rawWW,cpTP24h,6,
135,LIM_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,1,
136,PAF_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,2,
137,ANT_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,5,
138,VAT_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,7,
139,AYI_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,4,
140,PAR_07102021,2021-10-07 00:00:00,2021-10-06,2021-10-07,"",rawWW,cpTP24h,3,
141,LAR_11102021,2021-10-11 00:00:00,2021-10-10,2021-10-11,None,rawWW,cpTP24h,6,
142,LIM_11102021,2021-10-11 00:00:00,2021-10-10,2021-10-11,"",rawWW,cpTP24h,1,
143,PAF_11102021,2021-10-11 00:00:00,2021-10-10,2021-10-11,"",rawWW,cpTP24h,2,
144,ANT_11102021,2021-10-11 00:00:00,2021-10-10,2021-10-11,"",rawWW,cpTP24h,5,
145,VAT_11102021,2021-10-11 00:00:00,2021-10-10,2021-10-11,"",rawWW,cpTP24h,7,
146,LAR_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,None,rawWW,cpTP24h,6,
147,AYI_21022022,2022-02-24 11:36:29,2022-02-20,2022-02-21,Influent samples,rawWW,cpTP24h,4,2
148,LAR_24022022,2022-03-03 10:53:48,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,6,2
149,ANT_28022022,2022-03-03 10:56:23,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,5,2
150,PAF_24022022,2022-03-03 10:58:55,2022-02-23,2022-02-24,Influent samples,rawWW,cpTP24h,2,2
151,PAR_28022022,2022-03-03 11:02:43,2022-02-27,2022-02-28,Influent samples,rawWW,cpTP24h,3,2
152,AYI_28102021,2022-03-03 11:22:23,2021-10-27,2021-10-28,Influent samples,rawWW,cpTP24h,4,2
153,PAR_18102021,2022-03-08 12:40:36,2021-10-17,2021-10-18,Influent samples,rawWW,cpTP24h,3,2
154,LIM_07032022,2022-03-11 11:49:41,2022-03-06,2022-03-07,Influent samples,rawWW,cpTP24h,1,2
155,ANT_08032022,2022-03-11 12:07:44,2022-03-07,2022-03-08,Influent samples,rawWW,cpTP24h,5,2
156,PAF_03032022,2022-03-11 12:11:51,2022-03-02,2022-03-03,Influent samples,rawWW,cpTP24h,2,2
157,PAR_08032022,2022-03-11 12:15:06,2022-03-07,2022-03-08,Influent samples,rawWW,cpTP24h,3,2
158,LIM_14032022,2022-03-18 14:36:46,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,1,2
159,ANT_10032022,2022-03-18 14:49:45,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,5,2
160,VAT_14032022,2022-03-18 14:52:15,2022-03-13,2022-03-14,Influent samples,rawWW,cpTP24h,7,2
161,PAR_10032022,2022-03-18 14:56:13,2022-03-09,2022-03-10,Influent samples,rawWW,cpTP24h,3,2
162,LIM_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,1,
163,PAF_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,2,
164,ANT_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,5,
165,VAT_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,7,
166,AYI_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,4,
167,PAR_14102021,2021-10-14 00:00:00,2021-10-13,2021-10-14,"",rawWW,cpTP24h,3,
168,LAR_18102021,2021-10-18 00:00:00,2021-10-17,2021-10-18,None,rawWW,cpTP24h,6,
169,LIM_18102021,2021-10-18 00:00:00,2021-10-17,2021-10-18,"",rawWW,cpTP24h,1,
170,ANT_18102021,2021-10-18 00:00:00,2021-10-17,2021-10-18,"",rawWW,cpTP24h,5,
171,VAT_18102021,2021-10-18 00:00:00,2021-10-17,2021-10-18,"",rawWW,cpTP24h,7,
172,LAR_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,None,rawWW,cpTP24h,6,
173,LIM_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,1,
174,PAF_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,2,
175,ANT_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,5,
176,VAT_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,7,
177,AYI_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,4,
178,PAR_21102021,2021-10-21 00:00:00,2021-10-20,2021-10-21,"",rawWW,cpTP24h,3,
179,LAR_25102021,2021-10-25 00:00:00,2021-10-24,2021-10-25,None,rawWW,cpTP24h,6,
180,LIM_25102021,2021-10-25 00:00:00,2021-10-24,2021-10-25,"",rawWW,cpTP24h,1,
181,PAF_25102021,2021-10-25 00:00:00,2021-10-24,2021-10-25,"",rawWW,cpTP24h,2,
182,ANT_25102021,2021-10-25 00:00:00,2021-10-24,2021-10-25,"",rawWW,cpTP24h,5,
183,VAT_25102021,2021-10-25 00:00:00,2021-10-24,2021-10-25,"",rawWW,cpTP24h,7,
184,LAR_28102021,2021-10-28 00:00:00,2021-10-27,2021-10-28,None,rawWW,cpTP24h,6,
185,LIM_28102021,2021-10-28 00:00:00,2021-10-27,2021-10-28,"",rawWW,cpTP24h,1,
186,PAF_28102021,2021-10-28 00:00:00,2021-10-27,2021-10-28,"",rawWW,cpTP24h,2,
187,ANT_28102021,2021-10-28 00:00:00,2021-10-27,2021-10-28,"",rawWW,cpTP24h,5,
188,VAT_28102021,2021-10-28 00:00:00,2021-10-27,2021-10-28,"",rawWW,cpTP24h,7,
189,LAR_01112021,2021-11-01 00:00:00,2021-10-31,2021-11-01,None,rawWW,cpTP24h,6,
190,LIM_01112021,2021-11-01 00:00:00,2021-10-31,2021-11-01,"",rawWW,cpTP24h,1,
191,PAF_01112021,2021-11-01 00:00:00,2021-10-31,2021-11-01,"",rawWW,cpTP24h,2,
192,ANT_01112021,2021-11-01 00:00:00,2021-10-31,2021-11-01,"",rawWW,cpTP24h,5,
193,VAT_01112021,2021-11-01 00:00:00,2021-10-31,2021-11-01,"",rawWW,cpTP24h,7,
194,ANT_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,5,
195,LIM_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,1,
196,PAF_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,2,
197,PAR_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,3,
198,AYI_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,4,
199,LAR_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,6,
200,VAT_04112021,2021-11-04 00:00:00,2021-11-03,2021-11-04,"",rawWW,cpTP24h,7,
201,LIM_08112021,2021-11-08 00:00:00,2021-11-07,2021-11-08,"",rawWW,cpTP24h,1,
202,PAF_08112021,2021-11-08 00:00:00,2021-11-07,2021-11-08,"",rawWW,cpTP24h,2,
203,LAR_08112021,2021-11-08 00:00:00,2021-11-07,2021-11-08,"",rawWW,cpTP24h,6,
204,VAT_08112021,2021-11-08 00:00:00,2021-11-07,2021-11-08,"",rawWW,cpTP24h,7,
205,LIM_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,1,
206,PAF_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,2,
207,PAR_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,3,
208,AYI_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,4,
209,LAR_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,6,
210,VAT_11112021,2021-11-11 00:00:00,2021-11-10,2021-11-11,"",rawWW,cpTP24h,7,
211,ANT_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,5,
212,VAT_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,7,
213,AYI_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,4,
214,PAR_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,3,
215,ANT_08112021,2021-11-08 00:00:00,2021-11-07,2021-11-08,"",rawWW,cpTP24h,5,
216,LAR_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,6,
217,LIM_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,1,
218,PAF_15112021,2021-11-15 00:00:00,2021-11-14,2021-11-15,"",rawWW,cpTP24h,2,
219,ANT_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,5,
220,VAT_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,7,
221,AYI_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,4,
222,PAR_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,3,
223,LAR_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,6,
224,LIM_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,1,
225,PAF_18112021,2021-11-18 00:00:00,2021-11-17,2021-11-18,"",rawWW,cpTP24h,2,
226,VAT_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,7,
227,AYI_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,4,
228,PAR_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,3,
229,LAR_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,6,
230,LIM_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,1,
231,PAF_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,2,
232,ANT_22112021,2021-11-22 00:00:00,2021-11-21,2021-11-22,"",rawWW,cpTP24h,5,
233,VAT_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,7,
234,AYI_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,4,
235,PAR_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,3,
236,LAR_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,6,
237,LIM_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,1,
238,PAF_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,2,
239,ANT_25112021,2021-11-25 00:00:00,2021-11-24,2021-11-25,"",rawWW,cpTP24h,5,
240,VAT_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,7,
241,AYI_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,4,
242,PAR_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,3,
243,LAR_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,6,
244,LIM_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,1,
245,PAF_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,2,
246,ANT_29112021,2021-11-29 00:00:00,2021-11-28,2021-11-29,"",rawWW,cpTP24h,5,
247,VAT_02122021,2021-12-02 00:00:00,2021-12-01,2021-12-02,"",rawWW,cpTP24h,7,
248,AYI_02122021,2021-12-02 00:00:00,2021-12-01,2021-12-02,"",rawWW,cpTP24h,4,
249,PAR_02122021,2021-12-02 00:00:00,2021-12-01,2021-12-02,"",rawWW,cpTP24h,3,
